,Date,Open,High,Low,Close,Volume
8547,20230712 11:57:00 Asia/Calcutta,4476.0,4476.5,4476.0,4476.5,73
8548,20230712 11:58:00 Asia/Calcutta,4476.75,4477.0,4476.5,4477.0,148
8549,20230712 11:59:00 Asia/Calcutta,4476.75,4477.0,4476.75,4476.75,135
8550,20230712 12:00:00 Asia/Calcutta,4476.5,4476.75,4476.25,4476.5,134
8551,20230712 12:01:00 Asia/Calcutta,4476.5,4476.75,4476.5,4476.5,81
8552,20230712 12:02:00 Asia/Calcutta,4476.75,4477.0,4476.75,4477.0,102
8553,20230712 12:03:00 Asia/Calcutta,4476.75,4477.0,4476.5,4476.75,71
8554,20230712 12:04:00 Asia/Calcutta,4476.75,4477.0,4476.75,4476.75,49
8555,20230712 12:05:00 Asia/Calcutta,4476.75,4477.0,4476.5,4477.0,97
8556,20230712 12:06:00 Asia/Calcutta,4476.75,4477.0,4476.5,4476.75,85
8557,20230712 12:07:00 Asia/Calcutta,4476.75,4477.0,4476.5,4476.5,85
8558,20230712 12:08:00 Asia/Calcutta,4476.5,4476.5,4476.5,4476.5,34
8559,20230712 12:09:00 Asia/Calcutta,4476.5,4476.5,4476.0,4476.0,72
8560,20230712 12:10:00 Asia/Calcutta,4476.0,4476.0,4476.0,4476.0,79
8561,20230712 12:11:00 Asia/Calcutta,4476.0,4476.0,4475.75,4475.75,68
8562,20230712 12:12:00 Asia/Calcutta,4475.75,4476.0,4475.5,4476.0,123
8563,20230712 12:13:00 Asia/Calcutta,4476.0,4476.0,4475.75,4476.0,55
8564,20230712 12:14:00 Asia/Calcutta,4475.75,4476.0,4475.5,4475.5,170
8565,20230712 12:15:00 Asia/Calcutta,4475.5,4475.5,4475.0,4475.25,128
8566,20230712 12:16:00 Asia/Calcutta,4475.0,4475.5,4475.0,4475.25,181
8567,20230712 12:17:00 Asia/Calcutta,4475.25,4475.25,4475.0,4475.0,29
8568,20230712 12:18:00 Asia/Calcutta,4475.0,4475.0,4474.5,4474.75,100
8569,20230712 12:19:00 Asia/Calcutta,4474.75,4475.0,4474.5,4475.0,71
8570,20230712 12:20:00 Asia/Calcutta,4474.75,4475.0,4474.75,4475.0,50
8571,20230712 12:21:00 Asia/Calcutta,4475.0,4475.0,4474.75,4474.75,146
8572,20230712 12:22:00 Asia/Calcutta,4474.75,4475.0,4474.75,4475.0,25
8573,20230712 12:23:00 Asia/Calcutta,4474.75,4474.75,4474.5,4474.75,58
8574,20230712 12:24:00 Asia/Calcutta,4474.75,4475.25,4474.75,4475.25,47
8575,20230712 12:25:00 Asia/Calcutta,4475.25,4475.5,4475.0,4475.0,118
8576,20230712 12:26:00 Asia/Calcutta,4475.0,4475.5,4475.0,4475.5,48
8577,20230712 12:27:00 Asia/Calcutta,4475.5,4475.75,4475.25,4475.75,33
8578,20230712 12:28:00 Asia/Calcutta,4475.5,4475.5,4475.25,4475.5,89
8579,20230712 12:29:00 Asia/Calcutta,4475.5,4475.75,4475.5,4475.5,107
8580,20230712 12:30:00 Asia/Calcutta,4475.75,4477.0,4475.25,4476.75,1234
8581,20230712 12:31:00 Asia/Calcutta,4477.0,4477.5,4476.5,4476.5,548
8582,20230712 12:32:00 Asia/Calcutta,4476.5,4477.0,4476.0,4476.25,294
8583,20230712 12:33:00 Asia/Calcutta,4476.25,4476.25,4475.5,4475.75,292
8584,20230712 12:34:00 Asia/Calcutta,4475.75,4476.25,4475.75,4476.25,302
8585,20230712 12:35:00 Asia/Calcutta,4476.5,4477.0,4475.5,4475.75,527
8586,20230712 12:36:00 Asia/Calcutta,4475.75,4475.75,4475.5,4475.5,226
8587,20230712 12:37:00 Asia/Calcutta,4475.5,4476.0,4475.0,4475.25,301
8588,20230712 12:38:00 Asia/Calcutta,4475.0,4475.25,4474.5,4474.75,220
8589,20230712 12:39:00 Asia/Calcutta,4474.75,4475.25,4474.75,4474.75,217
8590,20230712 12:40:00 Asia/Calcutta,4474.75,4475.75,4474.5,4475.5,280
8591,20230712 12:41:00 Asia/Calcutta,4475.5,4475.75,4475.25,4475.5,268
8592,20230712 12:42:00 Asia/Calcutta,4475.5,4475.5,4475.0,4475.5,236
8593,20230712 12:43:00 Asia/Calcutta,4475.5,4475.5,4475.25,4475.25,190
8594,20230712 12:44:00 Asia/Calcutta,4475.0,4475.0,4474.5,4474.5,228
8595,20230712 12:45:00 Asia/Calcutta,4474.5,4475.25,4474.5,4475.0,305
8596,20230712 12:46:00 Asia/Calcutta,4475.0,4475.75,4475.0,4475.5,256
8597,20230712 12:47:00 Asia/Calcutta,4475.5,4476.0,4475.5,4476.0,298
8598,20230712 12:48:00 Asia/Calcutta,4476.25,4476.5,4476.0,4476.0,198
8599,20230712 12:49:00 Asia/Calcutta,4476.0,4476.0,4475.25,4475.5,246
8600,20230712 12:50:00 Asia/Calcutta,4475.5,4476.0,4475.25,4476.0,206
8601,20230712 12:51:00 Asia/Calcutta,4476.25,4476.5,4475.75,4476.0,178
8602,20230712 12:52:00 Asia/Calcutta,4476.0,4476.25,4475.75,4476.25,106
8603,20230712 12:53:00 Asia/Calcutta,4476.25,4476.25,4476.0,4476.0,76
8604,20230712 12:54:00 Asia/Calcutta,4476.0,4476.0,4475.25,4475.5,91
8605,20230712 12:55:00 Asia/Calcutta,4475.5,4476.5,4475.5,4476.5,184
8606,20230712 12:56:00 Asia/Calcutta,4476.5,4477.0,4476.5,4477.0,174
8607,20230712 12:57:00 Asia/Calcutta,4477.0,4477.5,4476.75,4477.5,206
8608,20230712 12:58:00 Asia/Calcutta,4477.25,4477.5,4477.0,4477.5,177
8609,20230712 12:59:00 Asia/Calcutta,4477.5,4477.5,4477.0,4477.25,158
8610,20230712 13:00:00 Asia/Calcutta,4477.25,4477.5,4477.0,4477.25,129
8611,20230712 13:01:00 Asia/Calcutta,4477.25,4477.5,4477.25,4477.25,80
8612,20230712 13:02:00 Asia/Calcutta,4477.25,4477.25,4476.5,4476.75,328
8613,20230712 13:03:00 Asia/Calcutta,4476.75,4477.5,4476.75,4477.25,129
8614,20230712 13:04:00 Asia/Calcutta,4477.25,4478.25,4477.25,4477.75,296
8615,20230712 13:05:00 Asia/Calcutta,4477.75,4478.25,4477.75,4478.0,111
8616,20230712 13:06:00 Asia/Calcutta,4478.0,4478.75,4478.0,4478.75,252
8617,20230712 13:07:00 Asia/Calcutta,4478.5,4478.75,4478.25,4478.5,189
8618,20230712 13:08:00 Asia/Calcutta,4478.5,4479.0,4478.5,4478.75,307
8619,20230712 13:09:00 Asia/Calcutta,4478.5,4479.25,4478.25,4478.5,348
8620,20230712 13:10:00 Asia/Calcutta,4478.5,4479.0,4478.25,4479.0,341
8621,20230712 13:11:00 Asia/Calcutta,4478.75,4479.25,4478.75,4479.25,204
8622,20230712 13:12:00 Asia/Calcutta,4479.25,4479.5,4479.0,4479.25,374
8623,20230712 13:13:00 Asia/Calcutta,4479.25,4479.5,4479.25,4479.25,78
8624,20230712 13:14:00 Asia/Calcutta,4479.25,4479.5,4478.5,4478.75,122
8625,20230712 13:15:00 Asia/Calcutta,4478.75,4479.0,4478.25,4478.75,224
8626,20230712 13:16:00 Asia/Calcutta,4478.75,4480.0,4478.75,4479.25,483
8627,20230712 13:17:00 Asia/Calcutta,4479.25,4479.75,4479.25,4479.5,294
8628,20230712 13:18:00 Asia/Calcutta,4479.75,4479.75,4479.5,4479.5,118
8629,20230712 13:19:00 Asia/Calcutta,4479.5,4480.0,4479.5,4479.75,133
8630,20230712 13:20:00 Asia/Calcutta,4479.75,4480.0,4479.5,4479.75,745
8631,20230712 13:21:00 Asia/Calcutta,4479.75,4480.5,4479.5,4479.5,659
8632,20230712 13:22:00 Asia/Calcutta,4479.75,4480.0,4479.5,4479.5,268
8633,20230712 13:23:00 Asia/Calcutta,4479.75,4479.75,4479.25,4479.75,248
8634,20230712 13:24:00 Asia/Calcutta,4479.75,4480.25,4479.5,4480.0,296
